timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084944941,-403932013,1803392681,137,86,43368,20,64,2958,10.6488,5.634437683,2567,0,,72,137
1084944942,-403932319,1803392781,137,87,43660,20,64,3004,10.8144,5.548158012,2566,0,,72,137
1084944945,-403932834,1803392803,138,87,44147,20,64,3079,11.0844,5.413012883,2561,0,,88,138
1084944946,-403932974,1803392905,138,86,44298,20,64,2641,9.5076,6.310740881,2559,0,,88,138
1084944949,-403933742,1803393580,136,82,45174,20,0,2585,9.306,6.447453256,2556,0,,57,136
1084944952,-403934542,1803393595,134,82,45971,20,0,2547,9.1692,6.54364612,2553,881,,57,134
1084944953,-403934617,1803393364,134,83,46137,20,0,2538,9.1368,6.566850538,2553,881,,57,134
1084944955,-403934626,1803392961,134,81,46428,20,0,2491,8.9676,6.690753379,2554,0,,57,134
1084944956,-403934538,1803392572,134,81,46734,20,0,2454,8.8344,6.791632709,2555,0,,57,134
1084944959,-403934198,1803391641,137,81,47531,20,0,2491,8.9676,6.690753379,2556,0,,57,137
1084944961,-403933946,1803391178,140,81,47957,20,0,2519,9.0684,6.616382162,2556,0,,57,140
1084944962,-403933878,1803390961,141,80,48131,20,0,2519,9.0684,6.616382162,2556,0,,44,141
1084944969,-403933369,1803389026,143,81,49709,20,0,2473,8.9028,6.739452756,2552,0,,44,143
1084944971,-403933108,1803388449,144,81,50218,20,0,2454,8.8344,6.791632709,2549,0,,32,144
1084944976,-403932580,1803386922,141,81,51503,20,0,2426,8.7336,6.870019236,2548,0,,57,141
1084944979,-403932244,1803385997,141,82,52287,20,0,2417,8.7012,6.895600607,2549,881,,88,141
1084944984,-403931658,1803384837,142,82,53330,20,0,2379,8.5644,7.005744711,2546,894,,72,142
1084944986,-403931412,1803384429,142,82,53715,20,0,2370,8.532,7.032348805,2544,894,,72,142
1084944987,-403931284,1803384297,143,82,53858,20,0,2361,8.4996,7.059155725,2544,894,,88,143
1084944993,-403930927,1803382123,144,83,55576,20,0,2333,8.3988,7.143877697,2543,0,,72,144
1084944998,-403930712,1803380188,141,83,57076,20,0,2314,8.3304,7.202535292,2543,0,,88,141
1084945000,-403930724,1803379771,140,81,57400,20,0,2267,8.1612,7.351860021,2544,0,,108,140
1084945009,-403930879,1803377147,138,80,59440,20,0,2118,7.6248,7.869058861,2544,,,176,138
1084945016,-403930865,1803375701,136,80,60564,20,0,1931,6.9516,8.631106508,2542,0,,147,136
1084945026,-403930546,1803372911,134,79,62757,20,64,1782,6.4152,9.352787131,2542,0,,147,134
1084945035,-403930698,1803370327,132,78,64798,20,0,1875,6.75,8.888888889,2542,,,176,132
1084945037,-403930822,1803369897,135,78,65148,20,0,1931,6.9516,8.631106508,2543,0,,176,135
1084945042,-403931301,1803368854,134,78,66064,20,64,1931,6.9516,8.631106508,2544,0,,176,134
1084945045,-403931717,1803368282,131,79,66652,20,64,1894,6.8184,8.799718409,2544,0,,129,131
1084945049,-403932670,1803367806,130,78,67640,20,0,1894,6.8184,8.799718409,2544,0,,108,130
1084945058,-403934942,1803367723,131,78,69735,20,0,2137,7.6932,7.799095305,2543,,,108,131
1084945059,-403935203,1803367667,131,78,69980,20,0,2137,7.6932,7.799095305,2543,,,108,131
1084945068,-403937114,1803367753,133,80,71770,20,0,2043,7.3548,8.157937673,2543,0,,129,133
1084945077,-403938734,1803367830,134,80,73278,20,0,1959,7.0524,8.507742045,2539,0,,72,134
1084945079,-403939210,1803367839,134,79,73718,20,64,1950,7.02,8.547008547,2538,0,,72,134
1084945085,-403940485,1803368194,136,80,74925,20,0,1931,6.9516,8.631106508,2537,0,,72,136
1084945092,-403942524,1803368441,133,80,76830,20,0,1941,6.9876,8.586639189,2534,0,,88,133
1084945095,-403943280,1803368534,132,81,77541,20,0,1978,7.1208,8.426019548,2534,0,,72,132
1084945101,-403944789,1803368668,133,82,78948,20,0,2109,7.5924,7.902639482,2533,0,,88,133
1084945103,-403945333,1803368722,133,81,79455,20,0,2155,7.758,7.733952049,2532,0,,88,133
