timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1081368910,,,96,0,0,22,0,0,5080,0,,176,96
1081368911,,,92,0,0,22,0,0,5080,0,,176,92
1081368912,,,92,0,0,22,0,0,5080,0,,176,92
1081368914,,,99,0,0,22,0,0,5078,0,,176,99
1081368915,,,98,61,139,22,0,1390,5078,0,,176,98
1081368920,,,101,63,1190,22,64,2127,5077,894,,176,101
1081368923,,,108,79,2005,22,0,2650,5077,894,,176,108
1081368924,,,111,79,2214,22,64,2090,5077,894,,176,111
1081368925,,,114,80,2418,22,0,2034,5077,894,,176,114
1081368929,,,117,79,3509,22,64,2799,5077,0,,162,117
1081368931,,,120,79,4064,22,64,2771,5077,0,,176,120
1081368934,,,125,79,4895,22,64,2771,5076,0,,176,125
1081368938,,,128,80,5996,22,0,2790,5076,0,,176,128
1081368940,,,131,84,6582,22,0,3004,5076,0,,176,131
1081368943,,,134,84,7493,22,64,3004,5076,0,,129,134
1081368947,,,137,84,8643,22,64,2948,5076,0,,147,137
1081368951,,,139,82,9824,22,64,2874,5075,0,,176,139
1081368958,,,142,82,11866,22,0,2855,5073,0,,162,142
1081368964,,,145,83,13590,22,0,2883,5072,0,,147,145
1081368971,,,144,83,15643,22,0,2930,5071,0,,88,144
1081368978,,,145,81,17653,22,0,2883,5069,0,,57,145
1081368984,,,148,81,19343,22,0,2818,5069,,,32,148
1081368991,,,148,83,21346,22,0,2883,5068,0,,32,148
1081368999,,,151,81,23588,22,0,2809,5068,0,,18,151
1081369007,,,151,81,25839,22,0,2809,5066,0,,18,151
1081369015,,,152,82,28115,22,0,2846,5065,0,,12,152
1081369019,,,152,83,29267,22,0,2911,5064,0,,12,152
1081369027,,,153,81,31528,22,0,2893,5064,,,32,153
1081369035,,,153,79,33794,22,64,2790,5063,,,32,153
1081369043,,,152,80,36025,22,0,2771,5064,0,,32,152
1081369051,,,152,81,38277,22,0,2818,5067,0,,32,152
1081369059,,,152,79,40468,21,64,2762,5069,0,,32,152
1081369060,,,153,79,40743,22,64,2753,5069,0,,18,153
1081369068,,,153,79,42943,22,64,2781,5071,0,,88,153
1081369076,,,154,79,45155,21,64,2781,5073,0,,88,154
1081369077,-421199886,1779214192,154,79,45155,21,64,2781,5104,0,,88,154
1081369078,-421199702,1779214102,154,79,45155,21,64,2781,5073,,,88,154
1081369080,-421199401,1779213778,154,79,45433,21,64,2613,5075,,,88,154
1081369088,-421199366,1779211035,152,79,47508,21,64,2435,5077,0,,32,152
1081369094,-421198845,1779208879,152,81,49252,21,0,2454,5079,0,,32,152
1081369096,-421198548,1779208112,152,79,49901,22,64,2482,5080,0,,32,152
1081369103,-421197303,1779205859,154,79,51971,21,64,2538,5082,881,,44,154
1081369109,-421196283,1779204137,154,80,53593,21,0,2641,5084,881,,44,154
1081369111,-421195795,1779203703,154,81,54160,21,0,2678,5085,0,,44,154
1081369116,-421194618,1779202519,156,80,55592,21,0,2725,5087,0,,108,156
1081369123,-421193578,1779200272,157,81,57562,21,0,2743,5089,0,,108,157
1081369124,-421193403,1779199993,157,80,57829,21,0,2743,5090,0,,108,157
1081369132,-421192086,1779197615,158,80,60014,21,0,2743,5093,,,147,158
1081369138,-421191017,1779195895,159,81,61659,21,0,2762,5094,,,129,159
1081369139,-421190827,1779195630,159,81,61927,21,0,2771,5094,,,129,159
1081369147,-421189394,1779193324,159,80,64136,21,0,2781,5097,0,,176,159
1081369148,-421189220,1779193045,158,80,64404,21,0,2771,5097,0,,176,158
1081369153,-421188467,1779191478,157,81,65804,21,0,2781,5100,,,176,157
1081369154,-421188322,1779191144,158,81,66091,21,0,2781,5100,894,,176,158
1081369162,-421187417,1779188520,159,83,68265,21,0,2799,5103,894,,147,159
1081369163,-421187398,1779188247,160,81,68474,21,0,2799,5103,0,,176,160
1081369170,-421187724,1779185588,162,81,70528,21,0,2799,5104,0,,147,162
1081369172,-421187838,1779184837,162,80,71110,21,0,2809,5105,0,,147,162
1081369180,-421188086,1779181990,160,82,73296,21,0,2846,5109,0,,147,160
1081369181,-421188116,1779181664,160,81,73547,21,0,2846,5110,0,,147,160
1081369184,-421188321,1779180654,160,81,74348,21,0,2846,5110,0,,147,160
1081369187,-421188798,1779179835,161,81,75114,21,0,2827,5111,894,,162,161
1081369194,-421190306,1779178419,163,80,76883,21,0,2799,5116,0,,176,163
1081369202,-421192350,1779176738,163,79,79174,21,64,2781,5120,0,,176,163
1081369203,-421192598,1779176558,163,79,79442,21,64,2781,5121,0,,176,163
1081369211,-421194410,1779175029,163,80,81495,21,0,2762,5127,0,,129,163
1081369213,-421194763,1779174661,163,81,81927,21,0,2753,5128,0,,129,163
1081369219,-421196157,1779173629,165,80,83443,21,0,2706,5132,0,,108,165
1081369221,-421196599,1779173187,165,80,83975,21,0,2697,5133,33200,,108,165
1081369229,-421198347,1779171709,166,81,85956,21,0,2669,5137,0,,72,166
1081369230,-421198577,1779171554,166,80,86201,21,0,2659,5138,0,,72,166
1081369237,-421200184,1779170119,166,80,88053,21,0,2631,5142,0,,72,166
1081369240,-421200800,1779169466,167,79,88813,21,64,2622,5144,0,,44,167
1081369246,-421202141,1779168156,166,80,90411,21,0,2603,5147,0,,72,166
1081369251,-421203203,1779167055,165,81,91709,21,0,2603,5150,0,,108,165
1081369256,-421204347,1779166082,166,80,93005,21,0,2603,5154,0,,57,166
1081369261,-421205520,1779164912,166,81,94414,21,0,2613,5159,0,,57,166
1081369264,-421205921,1779164595,166,81,94857,21,0,2613,5160,0,,57,166
1081369272,-421207761,1779162929,167,80,96987,21,0,2631,5162,0,,44,167
1081369274,-421208226,1779162577,167,81,97496,21,0,2631,5164,0,,44,167
1081369275,-421208456,1779162359,167,80,97766,21,0,2641,5165,0,,44,167
1081369283,-421210354,1779160601,167,81,99982,21,0,2659,5169,0,,25,167
1081369284,-421210576,1779160359,167,81,100258,21,0,2669,5170,0,,25,167
1081369285,-421210787,1779160137,167,82,100516,21,0,2669,5170,,,25,167
1081369291,-421212172,1779158918,168,82,102104,21,0,2687,5175,0,,12,168
1081369296,-421213384,1779157856,168,82,103491,21,0,2697,5177,0,-5,12,168
