timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1060207308,,,121,0,0,23,0,0,2554,0,,108,121
1060207309,,,121,0,0,23,0,,2554,0,,108,121
1060207315,-404073854,1803316307,121,69,766,23,64,1297,2554,,,108,121
1060207316,-404073577,1803316162,121,73,986,23,0,1633,2554,0,,108,121
1060207317,-404073275,1803316107,121,73,1251,23,0,1670,2554,0,,108,121
1060207321,-404071811,1803316024,122,86,2594,23,0,1922,2554,0,,108,122
1060207325,-404069909,1803316015,125,92,4358,23,0,2697,2554,0,,108,125
1060207327,-404068832,1803316090,128,93,5360,23,64,3135,2554,0,,129,128
1060207329,-404067740,1803316183,131,94,6379,23,0,3368,2554,0,,162,131
1060207331,-404066549,1803316094,134,93,7484,23,64,3499,2554,0,,176,134
1060207333,-404065874,1803315907,137,93,8131,23,64,3508,2553,0,,176,137
1060207335,-404065634,1803315736,140,92,8390,23,0,3424,2553,0,,176,140
1060207336,-404065433,1803315828,143,89,8586,23,64,3387,2553,0,,176,143
1060207339,-404064100,1803316173,146,87,9850,23,0,3480,2553,19800,,176,146
1060207340,-404063645,1803316281,147,87,10280,23,0,3508,2553,19800,,176,147
1060207342,-404062702,1803316345,151,87,11153,23,0,3574,2553,19800,,176,151
1060207345,-404061386,1803316612,153,93,12394,23,0,3910,2552,0,,176,153
1060207346,-404060871,1803316809,156,93,12895,23,0,4012,2552,0,,176,156
1060207348,-404059722,1803317258,159,96,14017,23,64,4236,2552,0,,176,159
1060207351,-404057794,1803318619,161,99,16100,23,0,4581,2552,0,,162,161
1060207352,-404057288,1803319057,162,100,16677,23,0,4712,2552,0,,162,162
1060207355,-404055892,1803320320,165,100,18288,23,0,4693,2553,0,,129,165
1060207356,-404055534,1803320667,165,100,18712,23,0,4581,2554,0,,129,165
1060207360,-404053636,1803322104,167,90,20793,23,64,4236,2553,0,,88,167
1060207361,-404053268,1803322279,167,90,21159,23,0,4199,2553,0,,88,167
1060207366,-404051107,1803323140,168,88,23278,23,0,3984,2553,0,,129,168
1060207368,-404049897,1803323260,169,88,24404,23,0,4068,2553,0,,129,169
1060207372,-404047289,1803323691,169,93,26848,23,64,4208,2552,0,,129,169
1060207376,-404044980,1803324558,169,90,29173,23,0,4283,2553,894,,129,169
1060207377,-404044757,1803325057,169,89,29583,23,64,4236,2553,894,,129,169
1060207381,-404043414,1803327237,169,89,31689,23,0,4199,2552,0,,129,169
1060207382,-404043046,1803327758,170,89,32218,23,0,4217,2552,0,,88,170
1060207386,-404041521,1803330054,170,89,34496,23,64,4348,2552,0,,88,170
1060207387,-404041112,1803330536,170,89,35024,23,64,4385,2552,0,,88,170
1060207388,-404040783,1803331009,170,88,35497,22,0,4413,2552,0,,88,170
1060207392,-404040225,1803333200,171,86,37262,22,64,4395,2551,0,,129,171
1060207397,-404039630,1803336140,172,87,39598,22,0,4451,2553,0,,147,172
1060207399,-404039382,1803337227,172,87,40471,22,0,4479,2553,0,,147,172
1060207404,-404038972,1803339926,174,87,42598,22,0,4329,2552,0,,108,174
1060207405,-404038853,1803340488,173,87,43048,22,0,4320,2553,0,,108,173
1060207410,-404038793,1803343361,170,85,45288,22,64,4273,2552,894,,57,170
1060207412,-404038825,1803344450,170,85,46136,22,64,4255,2552,894,,57,170
1060207417,-404039698,1803346741,170,84,48137,22,64,4255,2552,0,,57,170
1060207421,-404040533,1803348415,170,84,49811,22,64,4255,2552,0,,57,170
1060207426,-404040590,1803350511,169,86,51432,22,64,4189,2552,0,,88,169
1060207430,-404041388,1803352041,168,85,52875,22,64,4404,2553,0,,129,168
1060207431,-404041421,1803352478,170,84,53204,22,64,4460,2554,894,,129,170
1060207432,-404041335,1803352975,170,84,53597,22,64,4460,2552,894,,129,170
1060207433,-404041161,1803353039,170,84,53715,22,64,4357,2552,894,,129,170
1060207434,-404041237,1803352828,171,84,53881,22,64,4217,2552,894,,147,171
1060207437,-404041007,1803352888,168,83,54089,22,0,4012,2554,0,,176,168
1060207438,-404040666,1803353095,167,83,54443,22,0,4012,2554,0,,176,167
1060207439,-404040276,1803353386,171,83,54868,22,0,4022,2552,0,,176,171
1060207443,-404038954,1803355013,170,83,56620,22,64,4050,2550,0,,147,170
1060207444,-404038676,1803355488,170,83,57057,22,64,4068,2550,0,,147,170
1060207447,-404038092,1803356974,170,83,58295,22,64,4078,2550,0,,147,170
1060207449,-404037702,1803358008,170,83,59159,22,64,4096,2549,0,,147,170
1060207452,-404036778,1803359428,172,84,60511,22,64,4161,2549,0,,129,172
1060207457,-404034882,1803361799,170,84,62894,22,64,4255,2549,0,,147,170
